day,pressure ,maxtemp,temparature,mintemp,dewpoint,humidity ,cloud ,rainfall,sunshine,         winddirection,windspeed,Weather_Condition
1,1025.9,19.9,18.3,16.8,13.1,72,49,yes,9.3,80,26.3,Rainy
2,1022,21.7,18.9,17.2,15.6,81,83,,0.6,50,,Stormy
3,1019.7,20.3,19.3,18,18.4,95,91,yes,0,40,14.2,Stormy
4,1018.9,22.3,20.6,19.1,18.8,90,88,yes,1,50,16.9,Stormy
5,1015.9,21.3,20.7,20.2,19.9,95,81,yes,0,40,,Stormy
6,1018.8,24.3,20.9,19.2,18,84,51,yes,7.7,20,14.5,Stormy
7,1021.8,21.4,18.8,17,15,79,56,no,3.4,30,21.5,Rainy
8,1020.8,21,18.4,16.5,14.4,78,28,no,7.7,60,14.3,Rainy
9,1020.6,18.9,18.1,17.1,14.3,78,,no,3.3,70,39.3,Rainy
10,1017.5,18.5,18,17.2,15.5,85,91,yes,0,70,37.7,Stormy
11,1016.5,20.4,18.1,16.5,16.4,90,90,yes,2.1,40,23.3,Stormy
12,1019.9,18.5,17.3,16.1,13.7,79,86,no,0.6,20,23.9,Rainy
13,1020.8,18.7,16.1,14.2,12.1,77,34,no,,30,24.4,Rainy
14,1019.3,17.5,16.5,15.6,12.9,79,81,yes,,60,33.2,Rainy
,1015.4,16.1,15.1,14.5,14.6,97,97,,0,50,37.5,Stormy
16,1013.5,17.1,16.4,15.5,15.6,95,93,yes,0,60,40,Stormy
17,1011.5,20.6,17.8,14.8,16.1,90,79,yes,1.6,20,23.4,Stormy
18,1017.1,17.8,15.2,11.9,11.1,76,49,no,3.9,50,28.4,Rainy
19,1020.1,17.6,16.4,15.3,12.5,78,84,no,1,60,38,Rainy
20,1019.6,16.8,15.5,14.8,13.9,90,92,yes,0,70,50.6,Stormy
21,,17.1,16.1,15.1,15.3,95,100,yes,0,,26.2,Stormy
22,1018.9,16.2,,10.3,12.9,92,100,yes,0,50,35.3,Stormy
23,1027.1,10.4,8.5,7,3.4,70,95,yes,0,20,55.5,Rainy
24,1034.6,7.1,4.9,3.1,2.2,61,96,yes,0,20,59.5,Rainy
25,1032.6,10.8,7.4,4.3,3.7,46,25,no,10.1,20,28.7,Rainy
26,1027.1,13.5,10.4,8.1,2.5,59,85,yes,0.4,20,21.3,Rainy
27,1022.7,15.3,13,9.8,11.6,92,95,yes,0.2,20,29.6,Stormy
28,1018.2,17.4,16.1,14.8,,98,,yes,0,60,28.8,Stormy
29,1017.9,17.4,16.6,15.9,15.9,96,91,yes,,50,25,Stormy
30,1020,19.9,17.6,16.2,15.5,88,80,no,3.3,50,21.2,Stormy
31,1019.9,16.2,15.7,15.3,13.4,86,93,yes,0.1,70,43.1,Stormy
1,1022.2,15.6,12.4,10.7,11.2,93,96,yes,0,20,31.9,Stormy
2,1024.4,11.2,10.4,9.4,6.8,79,94,yes,0,,27.3,Rainy
3,1023.6,14.3,12.5,10.3,8.6,77,88,yes,0.3,40,21.3,Rainy
4,1021.8,,15.2,,10.9,76,45,no,9.2,40,9.1,Rainy
